Counterfeit_Weight,Active_Since,Medicine_MRP,SidEffect_Level,Availability_rating,Counterfeit_Sales,Area_Type_DownTown,Area_Type_MidTownResidential,Area_Type_CityLimits,Area_City_Type_Tier_3,Area_City_Type_Tier_2,Area_dist_level_Medium,Area_dist_level_Small,Area_dist_level_High,Medicine_Type_emb1,Medicine_Type_emb2,Medicine_Type_emb3,Active_Since_emb1,Active_Since_emb2,Active_Since_emb3,DistArea_ID_emb1,DistArea_ID_emb2,DistArea_ID_emb3
13.1,1995,160.2366,0,0.070421582,1775.5026,1,0,0,0,0,0,1,0,3.5103364,-7.3870306,-4.3397183,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
7.45,1983,110.4384,1,0.013,3069.152,0,0,1,1,0,1,0,0,-1.5805874,4.5278683,3.4247236,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
9.025,1995,259.4092,1,0.060782959,2603.092,1,0,0,0,0,0,1,0,-3.43163,-6.391154,2.5352144,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
11.8,1995,99.983,1,0.065555346,1101.713,1,0,0,0,0,0,1,0,-6.8066125,0.26004028,-6.550432,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
8.93,1983,56.4402,0,0.248859408,158.9402,0,1,0,0,0,0,1,0,8.280236,-0.6002991,-5.0784025,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
8.775,2000,165.5656,1,0.088881475,3047.8464,1,0,0,0,1,0,0,0,-0.74499774,5.5823555,-7.061555,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
18.0,2007,156.9102,0,0.051685176,2883.3938,0,0,0,1,0,1,0,0,8.280236,-0.6002991,-5.0784025,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
7.68,1985,154.347,1,0.028149955,3262.2340000000004,1,0,0,1,0,0,0,1,-0.74499774,5.5823555,-7.061555,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
18.55,1995,107.3068,0,0.0602662109999999,1959.9292,1,0,0,0,0,0,1,0,8.280236,-0.6002991,-5.0784025,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
9.51,1985,161.1392,1,0.023755465,3095.784,1,0,0,1,0,0,0,1,2.2555368,-6.6267414,1.7681491,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
9.27,2007,182.3422,1,0.013,5803.5926,0,0,0,1,0,1,0,0,-7.892474,-1.155915,0.14407927,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
18.15,2007,104.012,0,0.039627857,858.696,0,0,0,1,0,1,0,0,-3.43163,-6.391154,2.5352144,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
